time,route_id,vehicle_id,tls_id,junction_id,incoming,outgoing,remaining_distance_m,speed_used_mps,eta_sec,D_det,D_det_triggered,alpha,t_lead,G_ext,effective_G_ext,tau,metric_sample_interval,current_road_id,phase_before,phase_after,action,reason,restore_action,restore_reason
43.0,ER_ACC_002,emergency_ER_ACC_002_b1_green_wave_v1,joinedS_11203052957_cluster_11203052955_11203052956_11203052960_11203052961_#11more,cluster_11203052955_11203052956_11203052960_11203052961_#11more,781985787#0,-781985788#0,1543.6,35.997,51.458,300.0,False,1.2,30.0,30.0,30,1,10,218773868#5,,,observe_wait,outside_detection_and_lead_time,,
45.0,ER_ACC_002,emergency_ER_ACC_002_b1_green_wave_v1,joinedS_4273893706_4273893707_7335400058_cluster_13348213189_13348213190_13348213191,cluster_13348213189_13348213190_13348213191,-1455512070,-1455512069,0.0,34.755,0.0,300.0,True,1.2,30.0,30.0,30,1,10,-1455512070,0,0,restore,emergency_passed_tls,restore_noop_original_program_unchanged,original_program_already_active_direct_phase_restore_disabled
53.0,ER_ACC_002,emergency_ER_ACC_002_b1_green_wave_v1,joinedS_11203052957_cluster_11203052955_11203052956_11203052960_11203052961_#11more,cluster_11203052955_11203052956_11203052960_11203052961_#11more,781985787#0,-781985788#0,1291.629,35.403,43.78,300.0,False,1.2,30.0,30.0,30,1,10,785130600#2,,,observe_wait,outside_detection_and_lead_time,,
63.0,ER_ACC_002,emergency_ER_ACC_002_b1_green_wave_v1,joinedS_11203052957_cluster_11203052955_11203052956_11203052960_11203052961_#11more,cluster_11203052955_11203052956_11203052960_11203052961_#11more,781985787#0,-781985788#0,1014.157,35.834,33.961,300.0,False,1.2,30.0,30.0,30,1,10,218773869#3,,,observe_wait,outside_detection_and_lead_time,,
68.0,ER_ACC_002,emergency_ER_ACC_002_b1_green_wave_v1,joinedS_11203052957_cluster_11203052955_11203052956_11203052960_11203052961_#11more,cluster_11203052955_11203052956_11203052960_11203052961_#11more,781985787#0,-781985788#0,874.38,35.107,29.887,300.0,False,1.2,30.0,30.0,30,1,10,218773869#6,7,8,advance_to_next_green,next_phase_is_emergency_green_existing_sequence,,
70.0,ER_ACC_002,emergency_ER_ACC_002_b1_green_wave_v1,7335400049,7335400049,218773869#7,218773869#8,0.0,34.964,0.0,300.0,True,1.2,30.0,30.0,30,1,10,218773869#7,0,1,restore,emergency_passed_tls,restore_noop_original_program_unchanged,original_program_already_active_direct_phase_restore_disabled
72.0,ER_ACC_002,emergency_ER_ACC_002_b1_green_wave_v1,11346754525,11346754525,219696193#0,219696193#1,0.0,35.501,0.0,300.0,True,1.2,30.0,30.0,30,1,10,219696193#1,0,1,restore,emergency_passed_tls,restore_noop_original_program_unchanged,original_program_already_active_direct_phase_restore_disabled
72.0,ER_ACC_002,emergency_ER_ACC_002_b1_green_wave_v1,cluster_11203041632_11203041633_11203041634_11203041635_#5more,cluster_11203041632_11203041633_11203041634_11203041635_#5more,1499619438#0,383097712#1,868.424,35.501,29.355,300.0,False,1.2,30.0,30.0,30,1,10,219696193#1,4,4,skip,safe_green_not_current_or_next_phase,,
73.0,ER_ACC_002,emergency_ER_ACC_002_b1_green_wave_v1,joinedS_11203001806_11203001814_13721232731_5851251250_#6more,cluster_11203001809_11203001817_13721232729,289213613#0,289213613#3,1245.552,35.712,41.853,300.0,False,1.2,30.0,30.0,30,1,10,219696193#1,,,observe_wait,outside_detection_and_lead_time,,
83.0,ER_ACC_002,emergency_ER_ACC_002_b1_green_wave_v1,joinedS_11203001806_11203001814_13721232731_5851251250_#6more,cluster_11203001809_11203001817_13721232729,289213613#0,289213613#3,923.358,34.063,32.529,300.0,False,1.2,30.0,30.0,30,1,10,420361196,,,observe_wait,outside_detection_and_lead_time,,
93.0,ER_ACC_002,emergency_ER_ACC_002_b1_green_wave_v1,joinedS_11203001806_11203001814_13721232731_5851251250_#6more,cluster_11203001809_11203001817_13721232729,289213613#0,289213613#3,747.509,22.073,40.638,300.0,False,1.2,30.0,30.0,30,1,10,347237859#1,,,observe_wait,outside_detection_and_lead_time,,
99.0,ER_ACC_002,emergency_ER_ACC_002_b1_green_wave_v1,joinedS_11203001806_11203001814_13721232731_5851251250_#6more,cluster_11203001809_11203001817_13721232729,289213613#0,289213613#3,632.828,25.647,29.61,300.0,False,1.2,30.0,30.0,30,1,10,347237859#4,4,4,skip,safe_green_not_current_or_next_phase,,
105.0,ER_ACC_002,emergency_ER_ACC_002_b1_green_wave_v1,joinedS_11203052957_cluster_11203052955_11203052956_11203052960_11203052961_#11more,cluster_11203052955_11203052956_11203052960_11203052961_#11more,781985787#0,-781985788#0,0.0,18.741,0.0,300.0,True,1.2,30.0,30.0,30,1,10,781985787#0,8,0,restore,emergency_passed_tls,restore_noop_original_program_unchanged,original_program_already_active_direct_phase_restore_disabled
