route_id,scenario_id,target_edge_id,shortest_route_edges,shortest_length_m,shortest_edge_count,major_route_edges,major_length_m,major_edge_count,major_tls_count,spine_route_edges,spine_length_m,spine_edge_count,spine_tls_count,spine_length_ratio,spine_length_m_on_corridor,max_consecutive_spine_length_m,spine_entry_position,spine_exit_position,selected_candidate_policy,selected_bias_strength,selection_score,candidate_count,length_increase_pct,review_status,needs_manual_review,warnings
ER_ACC_011,ACC_011,1205679418#11,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 913702834 183272621 -1455518729#7 -1455518729#6 -1455518729#5 -1455518729#4 -1455518729#2 -1455518729#1 -1455518729#0 -1455518726 -198564928#28 -198564928#27 -198564928#26 -198564928#25 -198564928#24 -198564928#23 -198564928#22 -198564928#21 -198564928#20 -198564928#18 -198564928#17 -198564928#16 -198564928#15 -198564928#14 -198564928#13 -198564928#12 -198564928#11 -198564928#10 -198564928#8 -198564928#7 -198564928#6 -198564928#5 1205679418#11,1781.07,46,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 180368918#8 -218923171#5 183272621 -1455518729#7 -1455518729#6 -1455518729#5 -1455518729#4 -1455518729#2 -1455518729#1 -1455518729#0 -1455518726 -198564928#28 -198564928#27 -198564928#26 -198564928#25 -198564928#24 -198564928#23 -198564928#22 -198564928#21 -198564928#20 -198564928#18 -198564928#17 -198564928#16 -198564928#15 -198564928#14 -198564928#13 -198564928#12 -198564928#11 -198564928#10 -198564928#8 -198564928#7 -198564928#6 -198564928#5 1205679418#11,1786.83,47,4,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 180368918#8 218773868#0 218773868#2 218773868#3 218773868#4 218773868#5 218773868#6 -1455512070 -1455512069 428260110 785130600#0 785130600#1 785130600#2 785130600#3 1455497345 218773869#1 218773869#3 218773869#4 218773869#5 218773869#6 218773869#7 218773869#8 219696193#0 219696193#1 219696193#2 781985793#0 180368915#0 1205679414 1205679418#0 1205679418#1 1205679418#2 1205679418#3 1205679418#4 1205679418#5 1205679418#6 1205679418#8 1205679418#11,2083.45,50,5,0.702201,1463.0,662.92,0.057332,0.551729,spine,0.6,95.726222,5,16.977,PASS,False,
ER_ACC_012,ACC_012,170403814#0,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 913702834 183272621 -1455518729#7 -1455518729#6 -1455518729#5 -1455518729#4 -1455518729#2 -1455518729#1 -1455518729#0 -1455518726 -198564928#28 -198564928#27 -198564928#26 -198564928#25 -198564928#24 -198564928#23 -198564928#22 -198564928#21 -198564928#20 -198564928#18 -198564928#17 170403814#0,1512.44,35,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 180368918#8 -218923171#5 183272621 -1455518729#7 -1455518729#6 -1455518729#5 -1455518729#4 -1455518729#2 -1455518729#1 -1455518729#0 -1455518726 -198564928#28 -198564928#27 -198564928#26 -198564928#25 -198564928#24 -198564928#23 -198564928#22 -198564928#21 -198564928#20 -198564928#18 -198564928#17 170403814#0,1518.2,36,4,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 180368918#8 218773868#0 218773868#2 218773868#3 218773868#4 218773868#5 218773868#6 -1455512070 1455512071 428260116#1 1455518728 -198564928#28 -198564928#27 -198564928#26 -198564928#25 -198564928#24 -198564928#23 -198564928#22 -198564928#21 -198564928#20 -198564928#18 -198564928#17 170403814#0,1575.95,36,5,0.60047,946.31,461.72,0.057332,0.403943,spine,0.25,81.243327,3,4.199,PASS,False,
ER_ACC_013,ACC_013,198564929#5,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 180368918#8 218773868#0 218773868#2 218773868#3 218773868#4 218773868#5 218773868#6 -1455512070 -1455512069 428260110 785130600#0 785130600#1 785130600#2 785130600#3 1455497345 218773869#1 218773869#3 218773869#4 218773869#5 218773869#6 218773869#7 218773869#8 219696193#0 219696193#1 219696193#2 781985793#0 180368915#0 180368915#1 180368915#2 180368915#3 218915133#0 218915133#2 218915133#3 347237859#0 347237859#1 347237859#2 347237859#3 347237859#4 781985787#0 -781985788#0 -383097722#0 383097714 1499619438#0 383097712#1 228797640#0 228797640#2 228797640#3 198564929#5,2750.93,61,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 180368918#8 218773868#0 218773868#2 218773868#3 218773868#4 218773868#5 218773868#6 -1455512070 -1455512069 428260110 785130600#0 785130600#1 785130600#2 785130600#3 1455497345 218773869#1 218773869#3 218773869#4 218773869#5 218773869#6 218773869#7 218773869#8 219696193#0 219696193#1 219696193#2 781985793#0 180368915#0 180368915#1 180368915#2 180368915#3 218915133#0 218915133#2 218915133#3 347237859#0 347237859#1 347237859#2 347237859#3 347237859#4 781985787#0 -781985788#0 -383097722#0 383097714 1499619438#0 383097712#1 228797640#0 228797640#2 228797640#3 198564929#5,2750.93,61,7,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 180368918#8 218773868#0 218773868#2 218773868#3 218773868#4 218773868#5 218773868#6 -1455512070 -1455512069 428260110 785130600#0 785130600#1 785130600#2 785130600#3 1455497345 218773869#1 218773869#3 218773869#4 218773869#5 218773869#6 218773869#7 218773869#8 219696193#0 219696193#1 219696193#2 781985793#0 180368915#0 180368915#1 180368915#2 180368915#3 218915133#0 218915133#2 218915133#3 347237859#0 347237859#1 347237859#2 347237859#3 347237859#4 781985787#0 -781985788#0 -383097722#0 383097714 1499619438#0 383097712#1 333972428#1 333972428#2 333972428#3 289213613#0 289213613#3 619147728 619147729#0 619147729#1 619147729#2 619147735#0 619147735#1 619147735#4 198564929#0 198564929#2 198564929#3 198564929#5,3184.5,73,9,0.814147,2592.65,662.92,0.057332,0.88252,spine,0.6,107.468281,2,15.761,PASS,False,
ER_ACC_014,ACC_014,198691079#0,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 913702834 183272621 -1455518729#7 -1455518729#6 -1455518729#5 -1455518729#4 -1455518729#2 -1455518729#1 -1455518729#0 -1455518726 -198564928#28 -198564928#27 -198564928#26 -198564928#25 -198564928#24 -198564928#23 -198564928#22 -198564928#21 -198564928#20 -198564928#18 -198564928#17 -198564928#16 -198564928#15 -198564928#14 -198564928#13 -198564928#12 -198564928#11 -198564928#10 -198564928#8 -198564928#7 -198564928#6 -198564928#5 1205679418#11 184083187#3 184083187#4 184083187#5 218974504#1 218974504#2 218974504#3 218974504#4 218974504#5 218923188#0 218923188#1 -1002205302 1002205303#1 1499619440#4 1499619440#5 219096264 198564925#0 198691079#0,2626.08,63,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 180368918#8 218773868#0 218773868#2 218773868#3 218773868#4 218773868#5 218773868#6 -1455512070 -1455512069 428260110 785130600#0 785130600#1 785130600#2 785130600#3 1455497345 218773869#1 218773869#3 218773869#4 218773869#5 218773869#6 218773869#7 218773869#8 219696193#0 219696193#1 219696193#2 781985793#0 180368915#0 180368915#1 180368915#2 180368915#3 218915133#0 218915133#2 218915133#3 347237859#0 347237859#1 347237859#2 347237859#3 347237859#4 781985787#0 -781985788#0 -383097722#0 383097714 1499619438#0 1499619445#2 1499619443#4 1499619443#8 1499619443#9 1499619437 1499619442 219096264 198564925#0 198691079#0,2735.83,65,9,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 180368918#8 218773868#0 218773868#2 218773868#3 218773868#4 218773868#5 218773868#6 -1455512070 -1455512069 428260110 785130600#0 785130600#1 785130600#2 785130600#3 1455497345 218773869#1 218773869#3 218773869#4 218773869#5 218773869#6 218773869#7 218773869#8 219696193#0 219696193#1 219696193#2 781985793#0 180368915#0 180368915#1 180368915#2 180368915#3 218915133#0 218915133#2 218915133#3 347237859#0 347237859#1 347237859#2 347237859#3 347237859#4 781985787#0 -781985788#0 -383097722#0 383097714 1499619438#0 1499619445#2 1499619443#4 1499619443#8 1499619443#9 1499619437 1499619442 219096264 198564925#0 198691079#0,2735.83,65,9,0.755241,2066.21,662.92,0.057332,0.762938,major,,98.789409,2,4.179,PASS,False,
ER_ACC_015,ACC_015,243542156#1,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 180368918#8 218773868#0 218773868#2 218773868#3 218773868#4 218773868#5 218773868#6 -1455512070 -1455512069 428260110 785130600#0 785130600#1 785130600#2 785130600#3 1455497345 218773869#1 218773869#3 218773869#4 218773869#5 218773869#6 218773869#7 218773869#8 219696193#0 219696193#1 219696193#2 781985793#0 180368915#0 180368915#1 180368915#2 180368915#3 218915133#0 218915133#2 218915133#3 347237859#0 347237859#1 347237859#2 347237859#3 347237859#4 781985787#0 1465558146#0 1465558146#1 383097723 -243542156#1 464461055 243542154#1 243542156#1,2557.85,59,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 180368918#8 218773868#0 218773868#2 218773868#3 218773868#4 218773868#5 218773868#6 -1455512070 -1455512069 428260110 785130600#0 785130600#1 785130600#2 785130600#3 1455497345 218773869#1 218773869#3 218773869#4 218773869#5 218773869#6 218773869#7 218773869#8 219696193#0 219696193#1 219696193#2 781985793#0 180368915#0 180368915#1 180368915#2 180368915#3 218915133#0 218915133#2 218915133#3 347237859#0 347237859#1 347237859#2 347237859#3 347237859#4 781985787#0 1465558146#0 1465558146#1 383097723 -243542156#1 464461055 243542154#1 243542156#1,2557.85,59,6,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 180368918#8 218773868#0 218773868#2 218773868#3 218773868#4 218773868#5 218773868#6 -1455512070 -1455512069 428260110 785130600#0 785130600#1 785130600#2 785130600#3 1455497345 218773869#1 218773869#3 218773869#4 218773869#5 218773869#6 218773869#7 218773869#8 219696193#0 219696193#1 219696193#2 781985793#0 180368915#0 180368915#1 180368915#2 180368915#3 218915133#0 218915133#2 218915133#3 347237859#0 347237859#1 347237859#2 347237859#3 347237859#4 781985787#0 1465558146#0 1465558146#1 383097723 -243542156#1 464461055 243542154#1 243542156#1,2557.85,59,6,0.834498,2134.52,662.92,0.057332,0.753405,shortest,,108.595772,1,0.0,PASS,False,
ER_ACC_016,ACC_016,273028084#6,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 180368918#8 218773868#0 218773868#2 218773868#3 218773868#4 218773868#5 218773868#6 -1455512070 -1455512069 428260110 785130600#0 785130600#1 785130600#2 785130600#3 1455497345 218773869#1 218773869#3 218773869#4 218773869#5 218773869#6 218773869#7 218773869#8 219696193#0 219696193#1 219696193#2 781985793#0 180368915#0 180368915#1 180368915#2 180368915#3 413953596#0 413953596#1 413953596#2 1473526512 768399563#1 775222468#1 -273028084#11 772873181#0 775222468#5 772873182#0 -277257944#1 273028084#6,2686.4,55,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 180368918#8 218773868#0 218773868#2 218773868#3 218773868#4 218773868#5 218773868#6 -1455512070 -1455512069 428260110 785130600#0 785130600#1 785130600#2 785130600#3 1455497345 218773869#1 218773869#3 218773869#4 218773869#5 218773869#6 218773869#7 218773869#8 219696193#0 219696193#1 219696193#2 781985793#0 180368915#0 180368915#1 180368915#2 180368915#3 218915133#0 218915133#2 218915133#3 347237859#0 347237859#1 347237859#2 347237859#3 347237859#4 781985787#0 781985786#1 781985786#2 781985786#3 781985786#4 913570919 913570918 273028084#0 273028084#6,2725.57,60,6,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 180368918#8 218773868#0 218773868#2 218773868#3 218773868#4 218773868#5 218773868#6 -1455512070 -1455512069 428260110 785130600#0 785130600#1 785130600#2 785130600#3 1455497345 218773869#1 218773869#3 218773869#4 218773869#5 218773869#6 218773869#7 218773869#8 219696193#0 219696193#1 219696193#2 781985793#0 180368915#0 180368915#1 180368915#2 180368915#3 218915133#0 218915133#2 218915133#3 347237859#0 347237859#1 347237859#2 347237859#3 347237859#4 781985787#0 781985786#1 781985786#2 781985786#3 781985786#4 913570919 913570918 273028084#0 273028084#6,2725.57,60,6,0.820867,2237.33,662.92,0.057332,0.689573,major,,106.576544,2,1.458,PASS,False,
ER_ACC_017,ACC_017,273640070#0,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 180368918#8 218773868#0 218773868#2 218773868#3 218773868#4 218773868#5 218773868#6 -1455512070 -1455512069 428260110 785130600#0 785130600#1 785130600#2 785130600#3 -1455497346 237470575#0 237470575#1 237470575#3 237470575#4 237470575#5 223418965#5 788411954#0 772279128#1 -273640070#3 244221646#2 -892932178#1 -273640078#1 244221646#0 273640070#0,2204.59,42,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 180368918#8 218773868#0 218773868#2 218773868#3 218773868#4 218773868#5 218773868#6 -1455512070 -1455512069 428260110 785130600#0 785130600#1 785130600#2 785130600#3 -1455497346 237470575#0 237470575#1 237470575#3 237470575#4 237470575#5 223418965#5 223418965#10 223418965#14 273647556#0 -273647554#1 -273640076#1 -244221646#2 273640070#0,2289.78,41,3,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 180368918#8 218773868#0 218773868#2 218773868#3 218773868#4 218773868#5 218773868#6 -1455512070 -1455512069 428260110 785130600#0 785130600#1 785130600#2 785130600#3 1455497345 218773869#1 218773869#3 218773869#4 218773869#5 218773869#6 218773869#7 218773869#8 -772527390#5 785130598#0 785130598#1 785130598#3 223418965#1 223418965#2 223418965#3 223418965#5 223418965#10 223418965#14 273647556#0 -273647554#1 -273640076#1 -244221646#2 273640070#0,2788.26,50,5,0.540681,1507.56,662.92,0.057332,0.4503,spine,0.8,75.005237,3,26.475,WARNING,False,spine_route_length_gt_25%_over_shortest
ER_ACC_018,ACC_018,301285277#0,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 180368918#8 218773868#0 218773868#2 218773868#3 218773868#4 218773868#5 218773868#6 -1455512070 -1455512069 428260110 785130600#0 785130600#1 785130600#2 785130600#3 1455497345 218773869#1 218773869#3 218773869#4 218773869#5 218773869#6 218773869#7 218773869#8 219696193#0 219696193#1 219696193#2 781985793#0 180368915#0 180368915#1 180368915#2 180368915#3 218915133#0 218915133#2 218915133#3 347237859#0 347237859#1 347237859#2 347237859#3 347237859#4 781985787#0 -781985788#0 -383097722#0 301285277#0,2337.36,55,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 180368918#8 218773868#0 218773868#2 218773868#3 218773868#4 218773868#5 218773868#6 -1455512070 -1455512069 428260110 785130600#0 785130600#1 785130600#2 785130600#3 1455497345 218773869#1 218773869#3 218773869#4 218773869#5 218773869#6 218773869#7 218773869#8 219696193#0 219696193#1 219696193#2 781985793#0 180368915#0 180368915#1 180368915#2 180368915#3 218915133#0 218915133#2 218915133#3 347237859#0 347237859#1 347237859#2 347237859#3 347237859#4 781985787#0 -781985788#0 -383097722#0 301285277#0,2337.36,55,6,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 180368918#8 218773868#0 218773868#2 218773868#3 218773868#4 218773868#5 218773868#6 -1455512070 -1455512069 428260110 785130600#0 785130600#1 785130600#2 785130600#3 1455497345 218773869#1 218773869#3 218773869#4 218773869#5 218773869#6 218773869#7 218773869#8 219696193#0 219696193#1 219696193#2 781985793#0 180368915#0 180368915#1 180368915#2 180368915#3 218915133#0 218915133#2 218915133#3 347237859#0 347237859#1 347237859#2 347237859#3 347237859#4 781985787#0 -781985788#0 -383097722#0 301285277#0,2337.36,55,6,0.876138,2047.85,662.92,0.057332,0.75891,shortest,,112.759804,1,0.0,PASS,False,
ER_ACC_019,ACC_019,315658884#1,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 180368918#8 218773868#0 218773868#2 218773868#3 218773868#4 218773868#5 218773868#6 -1455512070 -1455512069 428260110 785130600#0 785130600#1 785130600#2 785130600#3 1455497345 218773869#1 218773869#3 218773869#4 218773869#5 218773869#6 218773869#7 218773869#8 219696193#0 219696193#1 219696193#2 781985793#0 180368915#0 180368915#1 180368915#2 180368915#3 218915133#0 218915133#2 218915133#3 347237859#0 347237859#1 347237859#2 347237859#3 347237859#4 781985787#0 218915135#3 218915135#4 315658899#0 -315658897#2 -315658897#1 315658884#1,2823.58,58,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 180368918#8 218773868#0 218773868#2 218773868#3 218773868#4 218773868#5 218773868#6 -1455512070 -1455512069 428260110 785130600#0 785130600#1 785130600#2 785130600#3 1455497345 218773869#1 218773869#3 218773869#4 218773869#5 218773869#6 218773869#7 218773869#8 219696193#0 219696193#1 219696193#2 781985793#0 180368915#0 180368915#1 180368915#2 180368915#3 218915133#0 218915133#2 218915133#3 347237859#0 347237859#1 347237859#2 347237859#3 347237859#4 781985787#0 218915135#3 218915135#4 315658899#0 -315658897#2 -315658897#1 315658884#1,2823.58,58,6,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 180368918#8 218773868#0 218773868#2 218773868#3 218773868#4 218773868#5 218773868#6 -1455512070 -1455512069 428260110 785130600#0 785130600#1 785130600#2 785130600#3 1455497345 218773869#1 218773869#3 218773869#4 218773869#5 218773869#6 218773869#7 218773869#8 219696193#0 219696193#1 219696193#2 781985793#0 180368915#0 180368915#1 180368915#2 180368915#3 218915133#0 218915133#2 218915133#3 347237859#0 347237859#1 347237859#2 347237859#3 347237859#4 781985787#0 218915135#3 218915135#4 781983104#0 781983104#1 333557072#3 333557072#5 619147738#0 619147738#1 1206223939 615671502 796927124 1206223944 585341902 477063271 1206223946#0 619147740 619147739#0 619147739#1 619147739#3 315658884#1,3493.78,72,7,0.904857,3161.37,1152.13,0.057332,0.888401,spine,0.4,137.411042,2,23.736,PASS,False,
ER_ACC_020,ACC_020,381802879#1,-381802881#2 -381802881#0 -381802876#1 381802853 381802843#1 117914353#1 381802879#0 381802879#1,424.06,8,-381802881#2 -381802881#0 117770551#2 117770551#3 381802843#0 381802843#1 117914353#1 381802879#0 381802879#1,424.95,9,0,-381802881#2 -381802881#0 -381802876#1 381802853 381802843#1 117914353#1 381802879#0 381802879#1,424.06,8,0,0.0,0.0,0.0,,,shortest,,-8.0,3,0.0,needs_manual_review,True,spine_length_ratio_lt_25%;max_consecutive_spine_lt_300m
